	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
2A	0.4761172831058502	0.4411371052265167	0.480416476726532	0.4662896990776062	0.4578586220741272	0.4243663847446442	0.4583393633365631	0.4343372285366058	0.4809004962444305	0.4230189323425293	0.4605928361415863	0.5306444764137268	0.4740154445171356	0.4979112446308136	0.5488957166671753	0.5901331305503845	0.4865565598011017	0.5485999584197998	0.4902843534946442	0.5314218997955322	0	0.4109133183956146	0.5205051898956299	0.4725651443004608	0.4593512117862701	0.4574623107910156	0.4326415359973907	0.4701055884361267	0.4169296324253082	0.4760948717594147	0.3931795060634613	0.4588051438331604
2B	0.4366617798805237	0.3813533186912537	0.4436100423336029	0.4382432997226715	0.4022974967956543	0.3908331692218781	0.428934246301651	0.440246045589447	0.4549550712108612	0.432283878326416	0.4401244223117828	0.4860712587833405	0.4127347767353058	0.4356870353221893	0.4771551191806793	0.5475319027900696	0.40427166223526	0.4862238764762878	0.4384369552135468	0.5419610142707825	0.4109133183956146	0	0.4684608578681946	0.4262393414974213	0.4228343069553375	0.4514308571815491	0.3841637372970581	0.4614055454730988	0.4163966476917267	0.456285297870636	0.4260530173778534	0.4009020924568176
3A	0.4961601793766022	0.4902397096157074	0.5097600817680359	0.4699914157390594	0.4970934391021729	0.4879750311374664	0.516109824180603	0.5130547285079956	0.4950233101844788	0.5016661882400513	0.5099194049835205	0.4959423243999481	0.4829398393630981	0.4895444810390472	0.4577997922897339	0.5028258562088013	0.4469373822212219	0.4596754014492035	0.5155537128448486	0.4870053827762604	0.5205051898956299	0.4684608578681946	0	0.4775455892086029	0.487453281879425	0.5210063457489014	0.4949288070201874	0.4955228269100189	0.4630416333675385	0.4817245006561279	0.5200491547584534	0.5175327062606812
3B	0.4698574841022491	0.4113345444202423	0.476687878370285	0.4339540600776672	0.4695823192596436	0.4543662071228027	0.4368311166763306	0.4661871492862701	0.4281386733055115	0.4972316324710846	0.4549820125102997	0.4686886370182037	0.4638027846813202	0.4515062868595123	0.4859479069709778	0.5656136274337769	0.3992288112640381	0.4647383391857147	0.4182833135128021	0.5051639080047607	0.4725651443004608	0.4262393414974213	0.4775455892086029	0	0.4631519317626953	0.4939324557781219	0.4313417971134186	0.4705732762813568	0.4343058466911316	0.4405179619789124	0.4608285427093506	0.4250113964080811
5A	0.4296123087406158	0.4445905983448029	0.4460247159004211	0.449250727891922	0.4655247926712036	0.477487325668335	0.4867648482322693	0.4555518627166748	0.4862012565135956	0.4414139688014984	0.4804592132568359	0.4721361100673676	0.4838321506977081	0.5023127198219299	0.4829748570919037	0.5299329161643982	0.4746313393115997	0.4838196337223053	0.4790098667144775	0.5077399611473083	0.4593512117862701	0.4228343069553375	0.487453281879425	0.4631519317626953	0	0.5017023682594299	0.4175213575363159	0.4989148378372192	0.4446379840373993	0.4589876234531403	0.4297278225421906	0.4731238186359406
5B	0.4686031639575958	0.4083440005779266	0.4779040515422821	0.4555481970310211	0.4449524879455566	0.4189963936805725	0.47745680809021	0.4388072490692139	0.4720293879508972	0.4581147134304047	0.48737433552742	0.4603346586227417	0.4824057817459106	0.4841074347496033	0.5179182291030884	0.5642538666725159	0.4814296066761017	0.5318043828010559	0.503848671913147	0.4861460328102112	0.4574623107910156	0.4514308571815491	0.5210063457489014	0.4939324557781219	0.5017023682594299	0	0.4415201842784882	0.4700429439544678	0.433373361825943	0.4907788038253784	0.4467278122901917	0.4930540323257446
6A	0.4077944457530975	0.4151358902454376	0.4523556232452393	0.4191509485244751	0.4307422041893005	0.4020045399665833	0.4162971675395966	0.4122357964515686	0.4116987287998199	0.4166626334190369	0.4217716753482819	0.4304028153419495	0.4309870898723602	0.4958837628364563	0.4588223993778229	0.5026753544807434	0.427899032831192	0.4819673001766205	0.4184785485267639	0.473992645740509	0.4326415359973907	0.3841637372970581	0.4949288070201874	0.4313417971134186	0.4175213575363159	0.4415201842784882	0	0.428507000207901	0.3991618454456329	0.4282363057136536	0.4366413652896881	0.404182106256485
6B	0.5064224600791931	0.4802678525447845	0.4697151780128479	0.4760525226593018	0.540480375289917	0.4834422171115875	0.5069844126701355	0.4852834641933441	0.5081093311309814	0.4529634416103363	0.5118902921676636	0.44774129986763	0.5187162756919861	0.4949407577514648	0.4502214789390564	0.4920961558818817	0.4823550283908844	0.5166295766830444	0.5103076100349426	0.465128093957901	0.4701055884361267	0.4614055454730988	0.4955228269100189	0.4705732762813568	0.4989148378372192	0.4700429439544678	0.428507000207901	0	0.4162079989910126	0.4997852742671967	0.4994282126426697	0.493875116109848
8A	0.4485616683959961	0.4178008437156677	0.483214259147644	0.4478910863399506	0.491727352142334	0.4217977821826935	0.431109607219696	0.4452604651451111	0.433088630437851	0.4226509034633636	0.4364269971847534	0.4354880154132843	0.4384685158729553	0.4494443237781525	0.4417180120944977	0.4889360070228577	0.3944806158542633	0.4768061935901642	0.4572662115097046	0.4627979397773743	0.4169296324253082	0.4163966476917267	0.4630416333675385	0.4343058466911316	0.4446379840373993	0.433373361825943	0.3991618454456329	0.4162079989910126	0	0.4305843114852905	0.4493038654327393	0.4724043607711792
8B	0.4519635736942291	0.4443961083889008	0.4881584942340851	0.4537560939788818	0.4806200861930847	0.428765594959259	0.431194543838501	0.465723991394043	0.4410028457641602	0.4801448583602905	0.432350367307663	0.4789502918720245	0.4361748695373535	0.4564346373081207	0.5045326352119446	0.548677921295166	0.41831374168396	0.4768769145011902	0.4181360304355621	0.5313276052474976	0.4760948717594147	0.456285297870636	0.4817245006561279	0.4405179619789124	0.4589876234531403	0.4907788038253784	0.4282363057136536	0.4997852742671967	0.4305843114852905	0	0.4671503305435181	0.5006262063980103
9A	0.4587847888469696	0.4256739318370819	0.4918763041496277	0.4234894812107086	0.4328458309173584	0.4611301720142365	0.4572843015193939	0.432329386472702	0.4801545441150665	0.4212033748626709	0.4231319427490234	0.513170599937439	0.4766014218330383	0.503695547580719	0.5222390294075012	0.5941324830055237	0.4563069939613342	0.5321124196052551	0.4589421153068542	0.5512152910232544	0.3931795060634613	0.4260530173778534	0.5200491547584534	0.4608285427093506	0.4297278225421906	0.4467278122901917	0.4366413652896881	0.4994282126426697	0.4493038654327393	0.4671503305435181	0	0.4403449594974518
9B	0.4275751709938049	0.4173110723495483	0.4170835018157959	0.4338476955890656	0.4120561182498932	0.4290956258773804	0.4135953485965729	0.4749553501605988	0.4796498715877533	0.4760977923870087	0.476131409406662	0.5004721283912659	0.4705692827701569	0.4747201800346375	0.5373435616493225	0.5618510246276855	0.4627448916435242	0.5192726850509644	0.477255791425705	0.5744875073432922	0.4588051438331604	0.4009020924568176	0.5175327062606812	0.4250113964080811	0.4731238186359406	0.4930540323257446	0.404182106256485	0.493875116109848	0.4724043607711792	0.5006262063980103	0.4403449594974518	0
